City_ID,City.1,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuchinsk,52.9306,158.4028,32.27,80,100,6.62,RU,1683653798
1,fort bragg,35.139,-79.006,88.2,43,75,10.36,US,1683653798
2,bethel,41.3712,-73.414,70.18,33,0,5.75,US,1683653799
3,edinburgh of the seven seas,-37.0676,-12.3116,57.43,71,63,22.35,SH,1683653799
4,bhabhra,22.5333,74.3333,90.37,16,5,10.89,IN,1683653799
5,hammerfest,70.6634,23.6821,43.25,81,75,0.0,NO,1683653800
6,tiksi,71.6872,128.8694,33.35,82,63,30.33,RU,1683653800
7,colonia,50.9333,6.95,61.95,87,20,2.3,DE,1683653700
8,constantia,44.1833,28.65,50.7,78,92,9.24,RO,1683653801
9,ushuaia,-54.8,-68.3,42.46,56,75,16.11,AR,1683653801
10,palmer,42.1584,-72.3287,66.24,24,75,14.97,US,1683653559
11,college,64.8569,-147.8028,44.58,45,75,4.0,US,1683653802
12,bangaon,23.0667,88.8167,87.12,51,12,13.33,IN,1683653702
13,barah,13.7,30.3667,89.04,9,21,9.91,SD,1683653802
14,utrik,11.2278,169.8474,80.87,81,100,15.08,MH,1683653788
15,walvis bay,-22.9575,14.5053,59.95,82,0,5.75,,1683653803
16,kishanpur,25.65,81.0167,90.95,12,0,12.77,IN,1683653803
17,weno,7.4515,151.8468,83.37,76,100,6.13,FM,1683653804
18,barra de santo antonio,-9.4047,-35.5072,85.28,70,21,8.68,BR,1683653804
19,chibougamau,49.9168,-74.3659,49.62,25,0,9.22,CA,1683653804
20,margate,51.3813,1.3862,61.88,75,88,5.99,GB,1683653804
21,iqaluit,63.7506,-68.5145,29.93,58,20,5.75,CA,1683653805
22,albany,42.6001,-73.9662,64.17,31,99,1.99,US,1683653517
23,port-aux-francais,-49.35,70.2167,42.33,93,96,20.07,TF,1683653805
24,grytviken,-54.2811,-36.5092,33.62,90,98,4.45,GS,1683653806
25,codrington,-38.2667,141.9667,55.89,71,100,6.93,AU,1683653806
26,lihue,21.9789,-159.3672,72.99,87,75,14.97,US,1683653806
27,praia da vitoria,38.7333,-27.0667,63.75,100,75,7.72,PT,1683653807
28,pitkyaranta,61.5734,31.4792,42.06,67,99,7.52,RU,1683653807
29,puerto ayora,-0.7393,-90.3518,85.96,95,54,8.99,EC,1683653791
30,guaraniacu,-25.1008,-52.8781,71.22,59,100,3.09,BR,1683653808
31,waitangi,-43.9535,-176.5597,60.82,95,100,11.01,NZ,1683653785
32,itoman,26.1247,127.6694,69.82,64,9,10.36,JP,1683653808
33,mahina,-17.5065,-149.489,80.37,78,40,3.44,PF,1683653809
34,atafu village,-8.5421,-172.5159,83.68,77,16,12.66,TK,1683653809
35,arteche,12.2645,125.4048,78.24,85,87,1.05,PH,1683653809
36,coquimbo,-29.9533,-71.3436,56.93,88,40,11.5,CL,1683653804
37,north platte,41.1239,-100.7654,65.37,64,75,23.02,US,1683653810
38,yellowknife,62.456,-114.3525,54.12,62,75,3.44,CA,1683653794
39,avarua,-21.2078,-159.775,77.05,88,75,20.71,CK,1683653810
40,tvoroyri,61.5556,-6.8111,48.47,91,100,5.57,FO,1683653811
41,liaocheng,36.4439,115.9647,63.48,43,100,4.68,CN,1683653811
42,san antonio de pale,-1.4014,5.6325,82.65,79,76,6.93,GQ,1683653816
43,mount isa,-20.7333,139.5,56.97,28,0,14.97,AU,1683653812
44,callao,-12.0667,-77.15,74.71,73,100,5.75,PE,1683653819
45,daru,-9.0763,143.2092,77.65,94,100,15.37,PG,1683653819
46,saynshand,44.8824,110.1163,58.24,55,96,10.18,MN,1683653820
47,karlskrona,56.1616,15.5866,55.85,73,5,11.27,SE,1683653820
48,east london,-33.0153,27.9116,61.74,94,0,3.44,ZA,1683653820
49,olonkinbyen,70.9221,-8.7187,36.05,100,100,8.03,SJ,1683653821
50,kodiak,57.79,-152.4072,42.31,93,100,10.36,US,1683653821
51,igarka,67.4667,86.5833,4.93,96,77,7.81,RU,1683653822
52,letterkenny,54.95,-7.7333,57.13,68,93,7.92,IE,1683653823
53,richmond,37.5538,-77.4603,78.24,72,100,9.22,US,1683653643
54,polyarnyy,69.1989,33.4478,33.64,99,100,4.18,RU,1683653824
55,dudinka,69.4058,86.1778,-11.7,100,20,3.47,RU,1683653824
56,road town,18.4167,-64.6167,87.89,66,40,13.8,VG,1683653656
57,cabo san lucas,22.8909,-109.9124,88.61,23,20,9.22,MX,1683653693
58,phan thiet,10.9333,108.1,79.34,85,80,2.19,VN,1683653635
59,puerto natales,-51.7236,-72.4875,46.85,53,20,3.44,CL,1683653811
60,palmeira das missoes,-27.8994,-53.3136,67.89,44,37,5.93,BR,1683653826
61,adamstown,-25.066,-130.1015,71.65,52,87,14.03,PN,1683653827
62,port mathurin,-19.6833,63.4167,78.33,69,9,18.48,MU,1683653804
63,udachny,66.4167,112.4,30.45,92,49,22.15,RU,1683653828
64,queenstown,-31.8976,26.8753,55.27,44,36,2.26,ZA,1683653828
65,azazga,36.7447,4.3722,66.25,55,91,3.0,DZ,1683653829
66,isafjordur,66.0755,-23.124,42.84,87,100,8.05,IS,1683653829
67,saudarkrokur,65.7461,-19.6394,40.33,98,100,3.36,IS,1683653827
68,acajutla,13.5928,-89.8275,86.79,67,24,10.07,SV,1683653830
69,peniche,39.3558,-9.3811,69.3,82,68,22.03,PT,1683653831
70,ancud,-41.8697,-73.8203,52.92,79,89,0.65,CL,1683653593
71,severo-yeniseyskiy,60.3725,93.0408,25.07,85,74,6.8,RU,1683653832
72,hawaiian paradise park,19.5933,-154.9731,70.03,96,75,5.75,US,1683653809
73,vadso,70.0744,29.7487,40.08,87,100,8.05,NO,1683653826
74,trincomalee,8.5711,81.2335,79.3,83,100,12.97,LK,1683653834
75,hithadhoo,-0.6,73.0833,82.58,74,88,6.4,MV,1683653792
76,port saint john's,-31.6229,29.5448,66.4,87,7,8.03,ZA,1683653835
